Fruit Sangria 	Wine	Sweet, Fruity	Orange Juice	Orange	Ingredient: 1/2 medium apple (cored, skin on, chopped into small pieces), 1/2 medium orange (rind on, sliced into small pieces, large seeds removed // plus more for garnish), 3-4 Tbsp organic brown sugar (or 3 Tbsp (37.5 g) organic cane sugar as original recipe is written), 3/4 cup orange juice (plus more to taste), 1/3 cup brandy (plus more to taste), 750 ml bottle dry Spanish red wine, 1 cup Ice to chill >Instructions: Add apples, oranges, and sugar to a large pitcher and muddle with a muddler or wooden spoon for 45 seconds. Add orange juice and brandy and muddle again to combine for 30 seconds. Add red wine and stir to incorporate, then taste and adjust flavor as needed. I added a bit more brandy, orange juice and brown sugar. Stir to combine. Add ice and stir once more to chill. Serve as is, or with a bit more ice. Garnish with orange segments (optional). Store leftovers covered in the refrigerator for up to 48 hours, though best when fresh.	https://minimalistbaker.com/wp-content/uploads/2015/07/SIMPLE-Traditional-Red-Sangria-6-ingredients-SO-refreshing-and-delicious-vegan-recipe-wine-sangria-summer.jpg
Ruby Queen	Whisky	Sour	Syrup	Lime	Ingredients: 1 1/2 ounces Scotch whisky, 1 ounces fresh red beet juice, 3/4 ounce honey syrup, 3/4 ounce freshly squeezed lemon juice >Fresh dill sprig, or tarragon sprig and lemon twist, for garnish >Step: Gather the ingredients. In a cocktail shaker, add the Scotch whisky, beet juice, honey syrup, and lemon juice. Fill with ice. Shake vigorously for at least 30 seconds. Fine-strain into a chilled cocktail glass. Garnish with a sprig of fresh dill or tarragon and a lemon twist. Serve and enjoy.	https://www.thespruceeats.com/thmb/H5r51iBQ9lB3-zRym3Q3RSlPDHc=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/ruby-queen-cocktail-recipe-759220-036-7b722d3d2b8643008172297abd0410a3.jpg
Smoked Rose	Whisky	Smoky	Syrup	Rosemary	For the Rosemary Syrup: 1 cup water, 1 cup sugar, 3 tablespoons rosemary >For the Cocktail: 1 sprig dried rosemary, 2 ounces Scotch whisky, 1/2 ounce Green Chartreuse liqueur, 1/4 ounce rosemary syrup Method: Make the Rosemary Syrup. Gather the ingredients. In a small saucepan, bring the water to a slow boil. Add the sugar and stir until it's entirely dissolved. Reduce the heat, add the rosemary, and cover the pan. Let simmer for 15 minutes. Remove the pan from the heat and allow the syrup to cool completely, keeping it covered. Strain out the rosemary and bottle the flavored syrup in a glass jar with a tight seal. It should be refrigerated and will keep for about 2 weeks.	https://www.thespruceeats.com/thmb/9FK1C3gDaaQ40BFknH-06wwgOsM=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/smoked-rose-cocktail-recipe-761384-001-4801faf18c4d42cb8c142e5fc709ced2.jpg
Green Giant 	Gin	Herbaceous	Lime Juice	None	Ingredients: 2 sugar snap pea pods, 8 tarragon leaves, 3/4 ounce simple syrup, 2 ounces Hayman's Old Tom gin, 1/2 ounce dry vermouth, 3/4 ounce lemon juice, freshly squeezed >Garnish: 2 sugar snap pea pods >Steps: In a shaker, muddle the pea pods, tarragon and simple syrup. Add the remaining ingredients and ice, and shake until well-chilled. Fine-strain into a chilled rocks glass filled with crushed ice. >Garnish with 2 sugar snap pea pods.	https://www.liquor.com/thmb/d-eReaESHE0wNsGJjzpJ-Ti6fH8=/720x0/filters:no_upscale():max_bytes(150000):strip_icc()/green-giant-720x720-primary-c6f401b5814c4133983949041ed8d79d.jpg
Old Thyme Sour	Whisky	Sour	Lime Juice	Lime	For the Cinnamon-Thyme Syrup: 1 cup water, 1 1/2 cups sugar, 1 cinnamon stick, 2 sprigs fresh thyme >For the Cocktail: 5 sprigs fresh thyme, divided, 1/4 ounce Green Chartreuse Liqueur, 2 ounces Irish whiskey, 1/2 ounce elderflower liqueur, 1 ounce freshly squeezed lemon juice, 1/2 ounce cinnamon-thyme simple syrup, 1 large egg white, 1 dash bitters, 1/2 teaspoon lemon zest >Lemon slice, for garnish >Make the Cinnamon-Thyme Simple Syrup: Gather the ingredients. In a saucepan, bring the water to a boil and stir in the sugar to dissolve. Reduce the heat and simmer, stirring occasionally. Add the cinnamon stick and thyme and then simmer for about 20 to 30 minutes, to taste. Strain, cool, and bottle in a well-sealed container >Make the Old Thyme Sour Cocktail: Gather the ingredients. Place the 2 sprigs of thyme and Chartreuse in an old-fashioned glass and stir to coat the thyme. Set aside. In a cocktail shaker, add 2 sprigs of thyme, whiskey, elderflower liqueur, lemon juice, cinnamon-thyme syrup, egg white, and bitters. Dry shake to incorporate the ingredients. Add ice to the shaker and shake thoroughly. Light the liqueur-soaked thyme on fire in the glass. Double strain the contents of the shaker into the glass to extinguish the flame. Add lemon zest and fill with fresh ice. Garnish with a lemon slice and the remaining sprig of thyme. Serve and enjoy.	https://www.thespruceeats.com/thmb/WSnAKMhGsuZmvAUm3ngdgQalrJw=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/old-thyme-sour-cocktail-recipe-759141-hero-01-7c103aea840d4a5b83b9a4f8fd450247.jpg
Gunpowder Gimlet	Gin	Herbaceous	Syrup	chamomile	Ingredients: For the Green Tea-Infused Gin: 1/4 cup green tea leaves, 1 (750-milliliter) bottle gin >For the Salted Pistachio Honey Syrup: 1/2 cup salted pistachios, 1/2 cup honey, 1/2 cup water >For the Cocktail: 1 1/2 ounces green tea-infused gin, 1/2 ounce salted pistachio honey syrup, 1/2 ounce lemon juice, 3 to 4 dashes chamomile bitters >Make Green Tea-Infused Gin: Gather the ingredients. In an infusion jar, add the tea leaves, then fill with gin. Steep for 2 hours, or to taste. Strain out the tea leaves and bottle. It can be stored just like any other gin. >Make the Salted Pistachio Honey Syrup: In a saucepan, add salted pistachios and equal parts honey and water to a saucepan. Bring to a boil, stirring constantly, then turn off the heat. Cover and let cool and steep in the pan for 1 to 2 hours. Strain out the pistachios and bottle in a jar with a tight-sealing lid. Store in the refrigerator.	https://www.thespruceeats.com/thmb/l9GPxYt1w-9ztzrbU55A5xaxqZU=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/lemon-cocktail-175602377-59889a17aad52b0010e59feb.jpg
Fall Spice Cordial	Whisky	Spicy	Syrup	Orange	For the Chipotle-Orange Syrup: 2 cups water, 1 chipotle pepper, 2 strips fresh orange peel, 3/4 cup sugar >For the Cocktail: 1 ounce bourbon whiskey, 1 ounce vanilla liqueur, 3/4 ounce chipotle-orange syrup, 2 dashes orange bitters, Orange peel, for garnish >Make the Chipotle-Orange Syrup: Gather the ingredients. In a small saucepan, bring the water to a boil. Reduce to a simmer and add the chipotle pepper and orange peel. Cover and let simmer for 15 to 20 minutes. Strain with a fine-mesh sieve to remove the pepper and orange. Return the syrup to the pan and add the sugar. Bring it back up to a boil and stir until the sugar dissolves. Remove from the heat and let cool. Pour the syrup into a container with a tight seal and keep in the refrigerator for up to three weeks. >Make the Fall Spice Cordial: Gather the ingredients. In a cocktail shaker, add the bourbon, vanilla liqueur, chipotle-orange syrup, and orange bitters. Fill with ice. Shake well. Strain into a cocktail glass. Garnish with an orange peel. Serve and enjoy.	https://www.thespruceeats.com/thmb/R6aFuA6KFpRNvg3NMt0K8tMKQK0=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/FallSpiceCordial-135587335-56a172803df78cf7726aba4e.jpg
French Quarter Smash	Brandy	Sweet,Sour	Syurp	Lime	Ingredients: For the Almond Syrup: 1 cup raw sugar, 1 cup water, 2 teaspoons organic almond extract, or to taste >For the Cocktail: 3 lemon wedges, 1/4 ounce almond syrup, 1 1/4 ounces moonshine, 3/4 ounce brandy, 6 to 8 fresh mint leaves, 2 teaspoons blueberry preserves, fresh mint sprig, for garnish >Make the Almond Syrup: Beyond this cocktail, you can use this syrup as a substitute for amaretto syrups to sweeten coffee and to give that rich amaretto flavor to other nonalcoholic drinks. It should keep well in a tightly sealed jar or bottle for two weeks in the refrigerator. Bring the sugar and water to a boil, stirring constantly until the sugar is dissolved. Reduce heat to a simmer, and stir in the almond extract. Taste for the desired potency and add small amounts of extract as needed. Remove from the heat and allow to cool for about 20 minutes. >Make the French Quarter Smash: Gather the ingredients. In a cocktail shaker, muddle the lemon wedges and almond syrup until all of the juices are extracted. Add the moonshine, brandy, mint leaves, and blueberry preserves, and fill the shaker with ice. Shake vigorously to fully mix the preserves. Double strain into an old-fashioned glass with 1 large ice cube. Garnish with a fresh sprig of mint. Serve and enjoy.	https://www.thespruceeats.com/thmb/mV-nM_FRYnRviof9xJMoak0gcos=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/Rogers-FrenchQuarterSmash-web-56a174dc5f9b58b7d0bf7208.jpg
Michelada	Beer	Savory, Spicy	Lime Juice	Lime	Ingredients: 1 pinch salt, 1 pinch cayenne pepper, 1 lime wedge, 1/2 ounce lime juice, freshly squeezed, 2 dashes, Worcestershire sauce, 2 dashes Tabasco sauce, 1 pinch ground black pepper, 1 pinch celery salt, 1 bottle Mexican lager beer, chilled >Garnish: lime wedge >Steps: Add equal parts salt and cayenne pepper to a plate or shallow bowl. Rub the lime wedge along half the rim of the pint glass and then dip the rim into the salt-cayenne mixture. Add the lime juice, Worcestershire sauce, Tabasco, black pepper and celery salt into the glass. Fill with the beer and garnish with a lime wedge.	https://i2.wp.com/chilipeppermadness.com/wp-content/uploads/2019/12/Michelada-Recipe1.jpg
Spicy Paloma	Tequila	Spicy, fruity	Grapefruit Juice	Grapefruit	Ingredients: For the Jalapeño Simple Syrup (can be made up to 10 days ahead):, 1 large jalapeño thinly sliced, seeds reserved, 1/4 cup (55 grams) brown sugar, 4 ounces (118 milliliters or 1/2 cup) cold water >For the Spicy Paloma Cocktail: 1 ounce (30 milliliters) lime juice, 2 ounces (60 milliliters) Jalapeño Simple Syrup (or to taste), 4 ounces (120 milliliters) tequila blanco, 6 ounces (180 milliliters) grapefruit juice, grapefruit soda to float >To garnish: kosher salt for rimming the glasses, optional, grapefruit slices fresh or dried, optional, jalapeño slices optional >Prepare the Jalapeño Simple Syrup: Add the jalapeño pepper slices and seeds to a small pot with the brown sugar. Add the cold water to the pot and stir everything together. Bring the mixture to a boil over medium-high heat while stirring to dissolve the brown sugar. Once the mixture comes to a boil, turn the stove off. Allow the peppers to infuse into the simple syrup for 15 minutes. After the peppers have infused their flavor and heat into the simple syrup, strain them and the seeds away before discarding them. Allow the simple syrup to cool completely, then transfer it to a jar with a tight-fitting lid or a squeeze bottle with a cap. Store it in the fridge for up to 10 days. If you're making your cocktails right away feel free to leave it at room temperature. >Rim the Cocktail Glasses (Optional): Use a wedge of grapefruit to moisten the sides of two highball glass. Once it's wet, sprinkle a generous amount of kosher salt where you rubbed the grapefruit. Set the glass aside to dry for 5 minutes, so the salt doesn't fall off when you handle the glass later. Once the salt has dried to the glass, fill them half- to three-quarters of the way full with ice. >Mix the Spicy Paloma Cocktail: Fill a large cocktail shaker with a handful of ice. Next, add the lime juice, jalapeño simple syrup, tequila blanco, and grapefruit juice to the shaker. Cap the cocktail shaker and give it a vigorous shake for 30 seconds. Stop shaking once the exterior of the cocktail shaker frosts over. Divide the spicy grapefruit base equally between your two ice-filled cocktail glasses. Float as much or as little of the grapefruit soda into the glass and garnish as desired. Enjoy your Spicy Paloma Cocktail responsibly.	https://senseandedibility.com/wp-content/uploads/2021/05/Spicy-Paloma-Lead.jpg
Pineapple Chili Margarita	Tequila	Sweet, Spicy	pineapple juice	Lime	Ingredients: 1 1/2 ounces silver tequila, 3/4 ounce premium triple sec, 2 ounces pineapple juice, 3/4 ounce freshly squeezed lime juice, 1 dash hot sauce, Coarse salt and/or Tajin Seasoning, for optional rim, Pineapple wedge, for garnish, Lime wheel, for garnish >Steps: Gather the ingredients. In a cocktail shaker, pour the tequila, triple sec, lime and pineapple juices, and hot sauce. Fill with ice. Shake vigorously. Prepare the rim of the glass by rubbing a slice of lime along it, and dipping glass in coarse salt and/or Tajin Seasoning for extra spice, if desired. Strain cocktail into the ice-filled glass. Garnish with a pineapple wedge and lime wheel.	https://www.thespruceeats.com/thmb/Z_Mk7fqETTMtWA8JQ0GZM5dhPuI=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/pineapple-chili-margarita-recipe-760779-hero-03-a78bb9f64a534800bc58b89a6048ebad.jpg
Jalapeño Margarita	Tequila	Sweet, Spicy	Lime Juice	pepper	Ingredients: 0,75 cup good tequila, 0,25 to 0,5 jalapeño pepper, plus extra slices for garnish, 0,25 cup Grand Marnier, 0,5 cup fresh lime juice, plus lime slices for garnish, 0,25 cup simple syrup or fresh squeezed orange juice, a few splashes of sparkling water, handful of ice >Instructions: Pour the tequila into a mixing glass or small pitcher. Add the sliced jalapeño, 0,25 to 0,5 of it, depending on how spicy you want your margaritas. Set aside at room temperature for 15 minutes (the longer you let the jalapeños infuse, the spicier it will be). Make the margaritas by mixing together the jalapeño-infused tequila, Grand Marnier, lime juice and ¼ cup simple syrup or orange juice. Taste. If you’d like a spicier margarita, add more jalapeño and let it it sit a little longer. Pour into glasses and add lime slices and jalapeños for garnish. For a lighter margarita, fill the glasses 0,5 full and top with sparkling water.	https://fedandfit.com/wp-content/uploads/2015/05/Fresh-Lime-and-Jalapeno-Margarita-Fed-Fit-2.jpg
Cucumper Mint Margarita 	Tequila	Sweet, Herbaceous	Lime Juice	Mint	"Ingredients: 1 1/2 ounces Republic Plata Tequila, 1/2 ounce Paula's Texas Orange Liqueur, 1 ounce Fresh Lime Juice, 1 ounce Agave Nectar, 1 ounce Water, 2 Pieces Cucumber 1""x1"" (cut into smaller pieces), 4 Fresh Mint Leaves >Instructions: Muddle cucumber and mint leaves in a tall mixing glass. Combine remaining ingredients and shake over ice. Pour into glass and garnish with mint."	https://www.shekeepsalovelyhome.com/wp-content/uploads/2021/05/10-Margarita-Recipes_Cucumber-Mint_margarita_1.jpg
Red Pepper Sangrita Margarita	Tequila	Sweet, Spicy	Tomato Juice	Lme	For the Pepper Mix: 2 cups tomato juice, 1/3 cup sour mix, 1/3 cup roasted red pepper purée, 1 dash habanero hot sauce, or to taste >For the Margarita: 1 1/2 ounces blanco tequila, 2 1/2 ounces pepper mix, Lime wedge, for garnish, Red bell pepper slice, for garnish >Make the Pepper Mix: Gather the ingredients. In a small bowl, stir the tomato juice, sour mix, and red pepper puree together. Add habanero hot sauce (1 dash at a time) to suit your taste. Store in the refrigerator in a sealed glass container. It will keep for about 1 week. >Make the Red Pepper Sangrita Margarita: Gather the ingredients. Combine the tequila and pepper mix with ice in a cocktail shaker. Roll the contents from one shaker into another five times. Alternatively, stir or shake the cocktail. Strain into a chilled margarita glass. Garnish with a lime wedge or red pepper slice. Serve and enjoy.	https://www.thespruceeats.com/thmb/Wv_phKRGPDzh8CfKSorZsZ-ndhc=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/RedPepperSangritaMarg-122015966-581dfe283df78cc2e81d23a1.jpg
Habanero Martini	Tequila	Spicy	None	None	Ingredients: 1/2 habanero pepper, 2 ounces agave tequila 8 count pour, 1/2 ounce dry vermouth 2 count pour, Ice >Instructions: In a cocktail glass muddle the habanero to release some juices. Do not pulverize. Keep the pepper in the glass, or remove it for a (slightly) lesser heat. Combine over ice the tequila and vermouth. Shake well. Then pour the mix over the muddled habanero.	https://www.thespruceeats.com/thmb/l3ybdhdMhrtFHM3HPEYd_sVfpOo=/5120x2880/smart/filters:no_upscale()/Habanero-Martini-5b317831fa6bcc003674a76d.jpg
Cucumber Wasabi Martini	Gin	Sour	Syrup	Cucumber	Ingredients: 4 slices cucumber, divided, 1 pea-sized dollop wasabi paste, 1/2 ounce simple syrup, 1 1/2 ounces gin, 1/2 ounce lemon juice >Steps to Make It: Gather the ingredients. In a cocktail shaker, muddle 3 cucumber slices with the wasabi and simple syrup. Fill with ice and add the gin and lemon juice. Shake well. Fine strain into a chilled cocktail glass. Garnish with a slice of cucumber. Serve and enjoy.	https://www.thespruceeats.com/thmb/sR7Beg19zZ-b8ILcz9h_3eyvUX8=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/CucumberWasabiMartini-139826502-56a171f35f9b58b7d0bf5995.jpg
Mango Spice	Vodka	Sweet, Spicy	Lime Juice	Orange	Ingredients: 1 ounce mango nectar, 3 slices jalapeño pepper, divided, 1/2 ounce agave nectar, 1 1/2 ounces mango vodka, 3/4 ounce freshly squeezed lime juice, 1 dash orange bitters >Steps to Make It: Gather the ingredients. In a cocktail shaker, add the mango nectar, 2 jalapeño slices, and agave nectar. Muddle well. Add the mango vodka, lime juice, and orange bitters, then fill the shaker with ice. Shake well. Fine strain into a cocktail glass by using your regular strainer while pouring through a fine mesh strainer. Garnish with a jalapeño slice. Serve and enjoy.	https://www.thespruceeats.com/thmb/93-CpUqJ68Oyk2HO47x-Rd7PWZQ=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/MangoSpiceCocktail-GettyImages-996027242-fcc780cf48bf4c5f9b4fa89369fcfa05.jpg
Sweet Heat	Vodka	Sweet,Spicy	pineapple juice	Lime	Ingredients: 2 ounces vodka, 1 1/2 ounces pineapple juice, 1/2 ounce simple syrup, 3 slices jalapeño, thinly sliced, 2 slices ginger, thinly sliced, 1 lime wheel for garnish >Steps: In a cocktail shaker, muddle together the jalapeño, ginger, simple syrup. Add ice and vodka. Shake vigorously. Pour into a glass and garnish with a lime wheel.	https://inspiredbycharm.com/wp-content/uploads/2014/05/IMG_4360.jpg
White Russian 	Vodka	Sweet	Coffe Liquer	None	Ingredients: 2 ounces vodka, 1 ounce coffee liqueur, ice, 1 ounce of heavy cream or milk >Steps: Add 2 ounces vodka and 1 ounce coffee liqueur to a glass. Add ice, then 1 ounce of heavy cream. Stir gently to get the swirl effect. Stir a White Russian vigorously and it’s a solidly beige drink. But want to get the swirl effect? Stir it gently just a few times, and the cream will swirl into the vodka and Kahlua in a beautiful pattern. It looks much more impressive!	https://www.acouplecooks.com/wp-content/uploads/2020/07/White-Russian-003.jpg
Black Russian	Vodka	Sweet	Coffe Liquer	Cherry	Ingredients: 50ml vodka, 25ml coffee liqueur, ice, 1 maraschino cherry, cola to top up, chilled (optional) >Method: Put the vodka and the coffee liqueur into a tumbler filled with ice and stir gently for 30 secs - 1min. Add the cherry and serve. Top with a splash of chilled cola if you prefer a longer drink.	https://images.immediate.co.uk/production/volatile/sites/30/2017/09/black-russian-cocktail-e89ea42.jpg?quality=90&webp=true&resize=600,545
Spicy Pineaple Shandy	Tequila	Sweet, Spicy	Pineapple juice	None	Ingredients: 1 ounce tequila, 2 ounces pineapple juice, 1/2 ounce freshly squeezed lemon juice, 1/2 ounce jalapeño simple, syrup, 6 ounces pale ale beer >Steps: Gather the ingredients. In a pint glass, combine the tequila, fruit juices, and jalapeño syrup. Stir well. Fill the glass with ice (if desired) and top with beer. Serve and enjoy.	https://www.thespruceeats.com/thmb/yrNebiy0ffTxfGmKaY7uuuT7vJU=/940x0/filters:no_upscale():max_bytes(150000):strip_icc()/PineappleShandy-004-5c8fb84246e0fb00016ee0f6.jpg
Devil Cocktail	Vermouth	Bitter	Lime Juice	None	Ingredient: 2 fl oz Twany port, 1 1/2 fl oz Martini Extra Dry vermouth, 1/4 fl oz Lemon juice(freshly squeezed) >Steps: Shake all ingredients with ice and fine strain into a chilled glass	https://cdn.diffords.com/contrib/stock-images/2016/7/30/20165f8425c8eb921fb0472a915dfe8b76c2.jpg
